entity_id,header_timestamp,trip_id,route_id,vehicle_id,vehicle_label,latitude,longitude,bearing,speed,timestamp,stop_id,current_status
000264,1774557103,092700_5..S03R,5,,,0.0,0.0,0.0,0.0,1774557098,423S,2
000266,1774557103,092950_5..N88R,5,,,0.0,0.0,0.0,0.0,1774557085,213N,2
000268,1774557103,093400_5..S03R,5,,,0.0,0.0,0.0,0.0,1774557099,418S,2
000270,1774557103,093550_5..N88R,5,,,0.0,0.0,0.0,0.0,1774557097,213N,2
000272,1774557103,094150_5..N88R,5,,,0.0,0.0,0.0,0.0,1774557098,621N,2
000274,1774557103,094200_5..S03R,5,,,0.0,0.0,0.0,0.0,1774557097,635S,2
000276,1774557103,094750_5..S03R,5,,,0.0,0.0,0.0,0.0,1774557092,629S,1
000278,1774557103,095000_5..N76R,5,,,0.0,0.0,0.0,0.0,1774557016,631N,1
000280,1774557103,095150_5..S12R,5,,,0.0,0.0,0.0,0.0,1774557092,640S,2
000282,1774557103,095600_5..N87R,5,,,0.0,0.0,0.0,0.0,1774557077,626N,1
000284,1774557103,095800_5..S08R,5,,,0.0,0.0,0.0,0.0,1774557081,416S,1
000286,1774557103,095950_5..N88R,5,,,0.0,0.0,0.0,0.0,1774557091,635N,2
000288,1774557103,096400_5..S07R,5,,,0.0,0.0,0.0,0.0,1774556971,221S,1
000290,1774557103,096450_5..S02R,5,,,0.0,0.0,0.0,0.0,1774557091,626S,2
000292,1774557103,096550_5..N76R,5,,,0.0,0.0,0.0,0.0,1774557066,420N,1
000294,1774557103,096800_5..S03R,5,,,0.0,0.0,0.0,0.0,1774557071,219S,1
000296,1774557103,097100_5..S02R,5,,,0.0,0.0,0.0,0.0,1774557101,416S,2
000298,1774557103,097300_5..N87R,5,,,0.0,0.0,0.0,0.0,1774557097,418N,2
000300,1774557103,097350_5..N88R,5,,,0.0,0.0,0.0,0.0,1774557097,423N,0
000302,1774557103,097400_5..S03R,5,,,0.0,0.0,0.0,0.0,1774557094,216S,2
000304,1774557103,097950_5..S03R,5,,,0.0,0.0,0.0,0.0,1774557023,213S,1
000306,1774557103,098100_5..N88R,5,,,0.0,0.0,0.0,0.0,1774557045,241N,1
000308,1774557103,098300_5..S12R,5,,,0.0,0.0,0.0,0.0,1774557102,217S,2
000310,1774557103,098700_5..S03R,5,,,0.0,0.0,0.0,0.0,1774557061,503S,1
000312,1774557103,098950_5..N86R,5,,,0.0,0.0,0.0,0.0,1774557070,239N,1
000325,1774557103,092700_6..S01R,6,,,0.0,0.0,0.0,0.0,1774557096,640S,2
000327,1774557103,093400_6..S01R,6,,,0.0,0.0,0.0,0.0,1774557067,636S,1
